Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
35,Game & Watch Gallery 2,Legend of the River King 2,Sonic Advance,Radiant Historia,Kirby Battle Royale,Army Defender,Ninja Gaiden II: The Dark Sword of Chaos,Street Fighter II: The World Warrior,Bomberman 64,Donkey Konga,Rayman Origins,ZombiU,Cuphead,Drol,Ninja Gaiden,NHL 94,Road Rash,Slam City with Scottie Pippen,Prince of Persia,Bug!,Ferrari F355 Challenge,Spyro the Dragon,Kingdom Hearts II,Tomb Raider,Final Fantasy XIV: Endwalker,Half-Minute Hero,Fez,IK+,Final Soldier,Ninja Gaiden III: The Ancient Ship of Doom,Day of the Tentacle,Hyper Rally,Jesus II,Metal Black,Zupapa!
36,Game & Watch Gallery 3,Crystalis,Sonic Advance 2,Elite Beat Agents,Donkey Kong Country Returns 3D,Glow Artisan,Mega Man,Tetris Attack,Yoshi's Story,Donkey Konga 2,Animal Crossing: City Folk,Affordable Space Adventures,Ori and the Will of the Wisps,Dragon Wang,Double Dragon,Street Fighter II: Special Champion Edition,Puyo Puyo 2,Supreme Warrior,Another World,Bug Too!,Le Mans 24 Hours,X-COM: UFO Defense,Guitar Hero,Assassin's Creed II,The Great Ace Attorney Chronicles,Earth Defense Force 2: Portable,Limbo,Sensible Soccer,Spriggan,Steel Talons,Sam & Max Hit the Road,Yie Ar Kung-Fu 2,Relics,Gradius II: Gofer no Yabou,Blue's Journey
37,Gradius: The Interstellar Assault,Survival Kids,Sonic Advance 3,Pokemon HeartGold,New Super Mario Bros. 2,Quick-Pick Farmer,Maniac Mansion,Super Punch-Out!!,Mario Golf,"WarioWare, Inc.: Mega Party Games!",MadWorld,Bayonetta,Ori and the Blind Forest,Champion Boxing,Golden Axe,Phantasy Star II,Super Columns,The Amazing Spider-Man: Web of Fire,Pitfall: The Mayan Adventure,Tomb Raider,Daytona USA 2001,Crash Bandicoot,Soulcalibur II,Tekken Tag Tournament 2,Persona 5,The Legend of Heroes: Zero no Kiseki,Shantae: Half-Genie Hero,Xenon 2: Megablast,Jackie Chan's Action Kung Fu,Rampage,SimCity 2000,Circus Charlie,Wibarm,Snow Bros.: Nick & Tom,Money Puzzle Exchanger
38,Kirby's Pinball Land,Mr. Driller,Kirby: Nightmare in Dream Land,Pokemon SoulSilver,Phoenix Wright: Ace Attorney - Trilogy,Flipper,Battletoads,Star Fox,San Francisco Rush 2049,Wario World,Wii Sports,Kirby and the Rainbow Curse,Xenoblade Chronicles: Definitive Edition,Champion Pro Wrestling,Streets of Rage,World of Illusion Starring Mickey Mouse and Donald Duck,Baku Baku Animal,Sangokushi IV,Jurassic Park,Resident Evil,Sega GT,Tomb Raider,Pro Evolution Soccer,XCOM: Enemy Unknown,The Last of Us Remastered,Grand Theft Auto: Liberty City Stories,"Papers, Please",Alien Breed,Cadash,Scrapyard Dog,Transport Tycoon Deluxe,The Castle,Dragon Quest II,The New Zealand Story,Magical Drop II
39,Bubble Bobble,Bomberman Quest,Gunstar Super Heroes,Tetris DS,Phoenix Wright: Ace Attorney - Dual Destinies,DodoGo!,Dr. Mario,F-Zero,Beetle Adventure Racing,Mario Party 4,A Boy and His Blob,Mario & Sonic at the Rio 2016 Olympic Games,Fire Emblem Engage,Champion Soccer,Altered Beast,Herzog Zwei,Mortal Kombat,Surgical Strike,Hook,Marvel Super Heroes,Test Drive 6,Tomb Raider II,Burnout Revenge,MAG,Undertale,Pangya: Fantasy Golf,Muramasa Rebirth,Gods,Dragon Spirit,Fat Bobby,Master of Magic,Tritorn,Romancia,Vendetta,Captain Tomaday
40,Wario Blast featuring Bomberman!,Bomberman Max: Blue Champion,WarioWare: Twisted!,Nintendogs,Phoenix Wright: Ace Attorney - Spirit of Justice,DodoGo! Robo,Super C,Kirby's Dream Land 3,Mega Man 64,Mario Party 5,House of the Dead: Overkill,Mario Party 10,Shin Megami Tensei V,Champion Baseball,Ghouls'n Ghosts,Ecco: The Tides of Time,Ecco the Dolphin,,Flink,Marvel Super Heroes vs. Street Fighter,Test Drive Le Mans,PaRappa the Rapper,Final Fantasy XII,Assassin's Creed: Brotherhood,Divinity: Original Sin 2 - Definitive Edition,Burnout Legends,Child of Light,Chaos Engine,Alien Crush,Jimmy Connors' Tennis,Master of Orion,Super Cobra,Ys III: Wanderers from Ys,Bucky O'Hare,Andro Dunos
41,Operation C,Dragon Ball Z: Legendary Super Warriors,Final Fantasy VI Advance,Animal Crossing: Wild World,Professor Layton and the Miracle Mask,A Kappa's Trail,The Guardian Legend,Mega Man X2,Excitebike 64,Mario Party 6,Rhythm Heaven Fever,Deus Ex: Human Revolution Director's Cut,Divinity: Original Sin II,Champion Tennis,Alien Syndrome,Earthworm Jim 2,Ax Battler: A Legend of Golden Axe,,Tomcat Alley,Mega Man 8,Speed Devils,Wipeout 3,Kingdom Hearts,Mirror's Edge,Monster Hunter: World,Star Wars Battlefront: Renegade Squadron,Guacamelee!,North & South,Bloody Wolf,Block Out,System Shock,Sokoban,Emerald Dragon,Willow,Neo Drift Out: New Technology
42,Bionic Commando,Resident Evil Gaiden,Final Fantasy V Advance,Brain Age: Train Your Brain in Minutes a Day!,Professor Layton and the Azran Legacy,Frenzic,Double Dragon II: The Revenge,E.V.O.: Search for Eden,Snowboard Kids,Mario Party 7,Zack & Wiki: Quest for Barbaros' Treasure,Batman: Arkham City Armored Edition,The Legend of Zelda: Link's Awakening,Champion Ice Hockey,Rastan,Mega Turrican,Batman Returns,,Wirehead,Mega Man X4,Tokyo Xtreme Racer,MediEvil,Jak and Daxter: The Precursor Legacy,Super Street Fighter IV,TSUKIHIME: A Piece of Blue Glass Moon,Mega Man Powered Up,The Legend of Heroes: Trails of Cold Steel,Theme Park,Aero Blasters,Pinball Jam,Myst,Elite,Valis II,Liquid Kids,Ghost Pilots
43,Batman: The Video Game,Alone in the Dark: The New Nightmare,Final Fantasy I & II: Dawn of Souls,Cooking Mama,Professor Layton vs. Phoenix Wright: Ace Attorney,Face Pilot: Fly With Your Nintendo DSi Camera!,DuckTales,Star Ocean,Duke Nukem 64,Mario Golf: Toadstool Tour,Excite Truck,Need for Speed: Most Wanted U,Octopath Traveler II,Champion Golf,Wonder Boy,Ranger X,Choplifter III,,Surgical Strike,Mega Man X3,Tokyo Xtreme Racer 2,Ridge Racer,Katamari Damacy,Battlefield: Bad Company 2,Journey,Darkstalkers Chronicle: The Chaos Tower,The Legend of Heroes: Trails of Cold Steel II,Powermonger,Raiden,Super Asteroids / Missile Command,Star Wars: X-Wing,Head Over Heels,Burai: Hachigyoku no Yushi Densetsu,Magic Sword: Heroic Fantasy,The King of Fighters 2002
44,Catrap,Magi Nation,Harvest Moon: Friends of Mineral Town,Scribblenauts,Theatrhythm Final Fantasy: Curtain Call,Looksley's Line Up,Teenage Mutant Ninja Turtles,ActRaiser 2,Goemon's Great Adventure,Mario Power Tennis,Red Steel 2,Assassin's Creed IV: Black Flag,Octopath Traveler,Champion Kendou,Black Belt,Mortal Kombat II,The Jungle Book,,Fahrenheit,Night Warriors: Darkstalkers' Revenge,San Francisco Rush 2049,Final Fantasy VI,Tales of the Abyss,BioShock 2,Odin Sphere: Leifthrasir,Tekken: Dark Resurrection,Sound Shapes,James Pond 2: Codename RoboCod,Detana!! TwinBee,Tournament Cyberball,Full Throttle,Track & Field,Super Laydock: Mission Striker,Arabian Magic,Over Top
45,Adventures of Lolo,Robopon Sun Version,Harvest Moon: More Friends of Mineral Town,Kirby: Canvas Curse,Theatrhythm Final Fantasy,Chronos Twins,Ice Hockey,Ogre Battle: The March of the Black Queen,WinBack: Covert Operations,Mario Superstar Baseball,De Blob,Mass Effect 3: Special Edition,Triangle Strategy,Champion Billiards,Choplifter,Kid Chameleon,Jurassic Park,,Corpse Killer,Vampire Savior,Vigilante 8: 2nd Offense,Suikoden II,Disgaea: Hour of Darkness,Call of Duty: Black Ops,Nioh,God of War: Chains of Olympus,Shakedown: Hawaii,Hired Guns,Cotton: Fantastic Night Dreams,Switchblade II,Theme Park,Camelot Warriors,Feedback,Dungeon Magic,Street Hoop
46,Avenging Spirit,Star Ocean: Blue Sphere,Pokemon Mystery Dungeon: Red Rescue Team,Super Mario 64 DS,Shin Megami Tensei IV,Bird & Beans,Faxanadu,Super Ghouls 'n Ghosts,Doom 64,Super Mario Strikers,Metroid Prime 3: Corruption,Call of Duty: Black Ops II,Undertale,Exerion,Columns,NBA Jam,Spider-Man,,Double Switch,Dead or Alive,Re-Volt,Xenogears,Ratchet & Clank,Just Cause 2,Death Stranding,Yu-Gi-Oh! ARC-V Tag Force Special,Freedom Wars,Zool,Coryoon: Child of Dragon,Power Factor,Theme Hospital,Pippols,Dragon Quest,Cadash,Crossed Swords
47,Harvest Moon GB,Grandia: Parallel Trippers,Super Mario Advance,Phoenix Wright: Ace Attorney,Shin Megami Tensei IV: Apocalypse,Paper Airplane Chase,Tecmo Bowl,Breath of Fire,Rayman 2: The Great Escape,SSX 3,Tatsunoko vs. Capcom: Ultimate All-Stars,Darksiders II,Into the Breach,Orguss,Lemmings,Zombies Ate My Neighbors,X-Men,,Prize Fighter,Virtua Fighter Remix,Wacky Races,Star Ocean: The Second Story,Bully,Kingdoms of Amalur: Reckoning,Subnautica,Mobile Suit Gundam: Gundam vs. Gundam NEXT PLUS,Ragnarok Odyssey ACE,Pinball Dreams,The Dynastic Hero,Awesome Golf,Dungeon Keeper,Boulderdash,Final Zone Wolf,G.I. Joe,Samurai Shodown IV
48,James Bond 007,Heroes of Might and Magic II,Super Mario Advance 3: Yoshi's Island,Phoenix Wright: Ace Attorney - Trials and Tribulations,Shin Megami Tensei: Devil Survivor Overclocked,Electroplankton: Trapy,Teenage Mutant Ninja Turtles III: The Manhattan Project,Rock N' Roll Racing,Sin and Punishment,SSX Tricky,Mario Strikers Charged,Monster Hunter 3 Ultimate,Slay the Spire,Yamato,Dr. Robotnik's Mean Bean Machine,Sparkster,Ninja Gaiden,,Supreme Warrior,Fighting Vipers,Star Wars Episode I: Racer,Legend of Mana,Tekken 5,L.A. Noire,Titanfall 2,Summon Night 5,Disgaea 4: A Promise Revisited,Pinball Fantasies,Tengai Makyo II: Manjimaru,Lynx Casino,Syndicate,Hole in One Golf,Puyo Puyo,ESP Ra.De.,Cyber-Lip
49,Solar Striker,Revelations: The Demon Slayer,Drill Dozer,Phoenix Wright: Ace Attorney - Justice for All,Shin Megami Tensei: Devil Survivor 2 Record Breaker,Electroplankton: Hanenbow,Double Dragon,NBA Jam: Tournament Edition,Command & Conquer,SSX On Tour,WarioWare: Smooth Moves,Sonic Lost World,Shovel Knight: Treasure Trove,Pop Flamer,Prince of Persia,Golden Axe II,Golden Axe,,Slam City with Scottie Pippen,Last Bronx,Ready 2 Rumble Boxing,Breath of Fire III,Twisted Metal: Black,Ultra Street Fighter IV,DOOM,Star Wars: The Force Unleashed,Super Robot Wars X,Micro Machines,Shape Shifter,A.P.B.,Populous,Xevious,Lemmings,Street Fighter III: 3rd Strike,Real Bout Fatal Fury 2
50,The Legend of Zelda: Oracle of Ages,Ghosts 'n Goblins,Mario vs. Donkey Kong,Lost in Blue,Persona Q: Shadow of the Labyrinth,Electroplankton: Nanocarp,Mega Man 4,Soul Blazer,Worms Armageddon,TimeSplitters 2,Cave Story,Tekken Tag Tournament 2: Wii U Edition,Paper Mario: The Origami King,Borderline,Bubble Bobble,Ghouls 'n Ghosts,Space Harrier,,ESPN Baseball Tonight,Sakura Wars,Ready 2 Rumble Boxing: Round 2,Parasite Eve,Dark Cloud 2,Yakuza 5,Tekken 7,Syphon Filter: Dark Mirror,Soul Sacrifice Delta,Worms: The Director's Cut,Sylphia,Hard Drivin',Railroad Tycoon,Sky Jaguar,Eggy,Mystic Warriors,Puzzle Bobble
51,Final Fantasy Legend,Tomb Raider,Mario Tennis: Power Tour,Resident Evil: Deadly Silence,Persona Q2: New Cinema Labyrinth,Electroplankton: Marine-Crystals,Life Force,Uniracers,Pokemon Stadium 2,TimeSplitters: Future Perfect,Wii Fit,Warriors Orochi 3 Hyper,Mario + Rabbids Sparks of Hope,Safari Hunting,Penguin Land,Vectorman 2,OutRun,,ESPN National Hockey Night,Sakura Wars 2,Virtua Fighter 3tb,Dino Crisis,Suikoden III,Burnout Paradise,Gran Turismo Sport,Death Jr.,Digimon Story: Cyber Sleuth,Beneath a Steel Sky,Download,Pac-Land,Colonization,Dig Dug,46 Okunen Monogatari: The Shinkaron,Violent Storm,Sengoku 2
52,Trip World,Tomb Raider: Curse of the Sword,Mario Golf: Advance Tour,Shantae: Risky's Revenge,Etrian Odyssey IV: Legends of the Titan,Electroplankton: Beatnes,Dragon Warrior II,Gradius III,Mario Party 3,Beyond Good & Evil,Wii Fit Plus,Runbow,Mario + Rabbids Kingdom Battle,Safari Race,Ultima IV: Quest of the Avatar,ToeJam & Earl in Panic on Funkotron,After Burner,,ESPN Sunday Night NFL,Dragon Force 2,Fighting Force 2,Wild Arms,Guitar Hero III: Legends of Rock,Dragon's Crown,Hyper Light Drifter,Star Ocean: First Departure,Atelier Totori Plus: The Adventurer of Arland,Simon the Sorcerer,Nexzr,Fidelity Ultimate Chess Challenge,X-COM: Terror from the Deep,"Livingstone, I Presume?",Cosmic Soldier: Psychic War,Rastan,King of the Monsters 2
53,Survival Kids,Wendy: Every Witch Way,Donkey Kong Country,Picross 3D,Etrian Odyssey V: Beyond the Myth,Electroplankton: Rec-Rec,Blades of Steel,SimCity,Star Wars: Episode I - Racer,Prince of Persia: The Sands of Time,Mario Super Sluggers,Guacamelee! Super Turbo Championship Edition,Ring Fit Adventure,N-Sub,Dragon Crystal,Alisia Dragoon,Psychic World,,Joe Montana's NFL Football,Grandia,Spawn: In the Demon's Hand,Mega Man Legends,Jak II,Valkyria Chronicles,Ys VIII: Lacrimosa of DANA,Ultimate Ghosts 'n Goblins,Crypt of the NecroDancer,Eye of the Beholder,Kaze Kiri,Super Skweek,Heroes of Might and Magic II,Comic Bakery,Karuizawa Yuukai Annai,Gokujou Parodius,Robo Army
54,Alleyway,GTA 2,Donkey Kong Country 2,WarioWare: D.I.Y.,Etrian Odyssey Nexus,Electroplankton: Luminarrow,Mega Man 5,Super Smash TV,Vigilante 8,Prince of Persia: Warrior Within,Wii Music,Axiom Verge,Pokemon Sword,Space Invaders,Zillion II: The Tri Formation,Road Rash,Magical Puzzle Popils,,NFL's Greatest: San Francisco vs. Dallas 1978-1993,Lunar 2: Eternal Blue,Sword of the Berserk: Guts' Rage,Twisted Metal 2,We Love Katamari,Borderlands 2,Nioh 2,Mana Khemia: Student Alliance,LEGO Jurassic World,Dungeon Master,Valis III,Hydra,Panzer General,The Black Onyx,Dennou Gakuen,Super Street Fighter II Turbo,Mutation Nation
55,Pocket Bomberman,Mickey's Speedway USA,Donkey Kong Country 3,Custom Robo Arena,Etrian Odyssey Untold: The Millennium Girl,Electroplankton: Sun-Animalcule,Adventures of Lolo,U.N. Squadron,Castlevania: Legacy of Darkness,Prince of Persia: The Two Thrones,Mario Sports Mix,SteamWorld Dig,Pokemon Shield,C_So!,Alex Kidd: The Lost Stars,Shadowrun,Arena: Maze of Death,,World Series Baseball,Policenauts,Legacy of Kain: Soul Reaver,Driver,God Hand,Dragon Age: Origins,Tales of Berseria,Princess Crown,Axiom Verge,It Came from the Desert,Legend of Hero Tonma,Robo-Squash,Star Control II,Hyper Sports 1,Nobunaga no Yabou: Zenkokuban,Darkstalkers: The Night Warriors,Eight Man
56,The Sword of Hope,Pokémon Pinball,Castlevania: Harmony of Dissonance,Magical Starsign,Etrian Odyssey 2 Untold: The Fafnir Knight,Electroplankton: Varvoice,R.C. Pro-Am,Mega Man 7,Castlevania,Tony Hawk's Pro Skater 3,Kirby's Dream Collection: Special Edition,Child of Light,New Super Mario Bros. U Deluxe,Guzzler,Alex Kidd: High-Tech World,Pulseman,Devilish,,RBI Baseball '94,Soukyugurentai,Tomb Raider: The Last Revelation,Rayman,Shin Megami Tensei: Digital Devil Saga,Metal Gear Rising: Revengeance,Detroit: Become Human,Wipeout Pure,Rogue Legacy,Frontier: Elite II,Image Fight II,Viking Child,Lemmings,Hyper Sports 2,Sangokushi,Vampire Savior: The Lord of Vampire,NAM-1975
57,The Sword of Hope II,Harvest Moon GBC,Mega Man Battle Network 2,Sonic Rush Adventure,Zero Escape: Virtue's Last Reward,Electroplankton: Volvoice,Marble Madness,Bahamut Lagoon,Rocket: Robot on Wheels,Tony Hawk's Pro Skater 4,Fortune Street,Mutant Mudds Deluxe,Disco Elysium: The Final Cut,Hustle Chumy,Cyborg Hunter,Mickey Mania,Ecco: The Tides of Time,,Links: The Challenge of Golf,Battle Garegga,Tomb Raider Chronicles,Tomb Raider III,Beyond Good & Evil,Dragon's Dogma: Dark Arisen,Final Fantasy XV,Wipeout Pulse,Downwell,Populous II: Trials of the Olympian Gods,Psychic Storm,Baseball Heroes,Another World,Mappy,Randar III: Shinwa e no Tabidachi,Mercs,Ninja Commando
58,Rolan's Curse,Harvest Moon 2 GBC,Mega Man Battle Network,Sonic Rush,Zero Escape: Zero Time Dilemma,Metal Torrent,Mega Man 6,Mortal Kombat II,BattleTanx: Global Assault,Tony Hawk's Underground,Trauma Center: Second Opinion,Nano Assault Neo,Persona 4 Golden,Shinnyuu Shain Tooru-Kun,Vigilante,Light Crusader,Phantasy Star Adventure,,Sega Classics Arcade Collection,DoDonPachi,Resident Evil 2,Colin McRae Rally 2.0,Dynasty Warriors 5,Hard Corps: Uprising,Resident Evil Village,Dante's Inferno,Iconoclasts,Loom,Super Darius,Gordo 106,Flashback,Galaxian,A-Train,U.N. Squadron,Super Sidekicks 3
59,Rolan's Curse II,Blaster Master: Enemy Below,Mega Man Battle Network 5,Okamiden,Resident Evil Revelations,Globulos Party,Metal Storm,Ultimate Mortal Kombat 3,Mystical Ninja Starring Goemon,Tony Hawk's Underground 2,Trauma Center: New Blood,Trine 2: Director's Cut,Unicorn Overlord,Satellite 7,Gangster Town,Crusader of Centy,Panzer Dragoon Mini,,Spider-Man vs. the Kingpin,Batsugun,Resident Evil 3: Nemesis,Formula One 97,Fatal Frame,Mega Man 9,Concrete Genie,Disgaea: Afternoon of Darkness,Helldivers,Superfrog,Shockman,NFL Football,Alone in the Dark,Freddy Hardest,Knightmare,Carrier Air Wing,The Ultimate 11
60,Castlevania: The Adventure,Azure Dreams,Ninja Five-O,Dragon Quest VI: Realms of Revelation,Steamworld Heist,Ivy the Kiwi? Mini,M.C. Kids,Super Bomberman 2,Pilotwings 64,Tony Hawk's American Wasteland,Trauma Team,The Swapper,Hyrule Warriors: Age of Calamity,Space Armor,Kung Fu Kid,El Viento,Puzzle & Action: Ichidant-R,,3 Ninjas Kick Back,Silhouette Mirage,Dino Crisis,Brave Fencer Musashi,Jak 3,Dead Space,Tales of Vesperia: Definitive Edition,Shinobido: Tales of the Ninja,Street Fighter X Tekken,Fire & Ice,Somer Assault,World Class Soccer,Gabriel Knight: Sins of the Fathers,Army Moves,Genghis Khan,Three Wonders,Thrash Rally
61,DuckTales,Perfect Dark,Tactics Ogre: The Knight of Lodis,Dragon Quest V: Hand of the Heavenly Bride,SteamWorld Dig,Bejeweled Twist,Chip 'n Dale: Rescue Rangers,Pilotwings,1080 Snowboarding,Soulcalibur II,Battalion Wars 2,Mighty Switch Force! Hyper Drive Edition,Tetris 99,Space Slalom,Michael Jackson's Moonwalker,Bio-Hazard Battle,Tails' Skypatrol,,The Adventures of Willy Beamish,Princess Crown,Blue Stinger,Harvest Moon: Back to Nature,TimeSplitters: Future Perfect,Prince of Persia: The Forgotten Sands,Star Wars Jedi: Fallen Order,Gran Turismo,Broken Age,Rick Dangerous,Sinistron,Malibu Bikini Volleyball,The Elder Scrolls: Arena,Warp & Warp,Daisenryaku,Giga Wing,Neo Drift Out
62,DuckTales 2,Rayman,Boktai: The Sun Is in Your Hand,Dragon Quest IV: Chapters of the Chosen,Shantae and the Pirate's Curse,Number Battle,Ghosts 'n Goblins,R-Type III: The Third Lightning,Star Wars: Shadows of the Empire,Killer7,Boom Blox,Art of Balance,Katana Zero,Space Mountain,Dynamite Dux,Target Earth,Sonic Spinball,,After Burner III,The Legend of Oasis,Carrier,Monster Rancher 2,Medal of Honor: Frontline,Silent Hill: Downpour,Resident Evil 4,Disgaea 2: Dark Hero Days,SteamWorld Dig,Prince of Persia,Rayxanber II,Krazy Ace Miniature Golf,The Elder Scrolls II: Daggerfall,Pac-Man,Deep Dungeon,19XX: The War Against Destiny,Kizuna Encounter
63,Kirby's Block Ball,Rayman 2,Boktai 2: Solar Boy Django,Dragon Quest Monsters: Joker,Fantasy Life,Touch Solitaire,RBI Baseball,Sunset Riders,WWF WrestleMania 2000,Ikaruga,Boom Blox Bash Party,Sonic & All-Stars Racing Transformed,Untitled Goose Game,Pacar,Alien Storm,Shining in the Darkness,Sonic Labyrinth,,Dracula Unleashed,Duke Nukem 3D,D2,The Legend of Dragoon,Burnout 2: Point of Impact,Spider-Man: Shattered Dimensions,Sekiro: Shadows Die Twice,Resistance: Retribution,Nuclear Throne,Lemmings 2: The Tribes,Rainbow Islands,European Soccer Challenge,Betrayal at Krondor,Ghostbusters,Bomberman Special,Eco Fighters,Real Bout Fatal Fury Special
64,Kwirk,Xtreme Sports,Kingdom Hearts: Chain of Memories,Fire Emblem: Shadow Dragon,Tomodachi Life,Dr. Mario Express,Jackal,Ken Griffey Jr. Presents Major League Baseball,Tony Hawk's Pro Skater,Chibi-Robo!,NBA Jam,Injustice: Gods Among Us,Super Mario 3D All-Stars,Challenge Derby,Bonanza Bros.,Phantasy Star III: Generations of Doom,NFL Quarterback Club,,Space Ace,Road Rash,Illbleed,Suikoden,Soulcalibur III,Double Dragon: Neon,Tales of Arise,Lost Heroes,Broken Sword 5: The Serpent's Curse,Rainbow Islands,Hana Taaka Daka,Dirty Larry: Renegade Cop,Eye of the Beholder,Rally-X,Ashguine Story II,JoJo's Bizarre Adventure,Fatal Fury Special
65,Amazing Penguin,Catwoman,Pokemon Pinball: Ruby & Sapphire,Kirby Super Star Ultra,Miitopia,Mario Clock,Nintendo World Cup,Tecmo Super Bowl,Cruis'n USA,Geist,Tiger Woods PGA Tour 10,Minecraft: Wii U Edition,Monster Hunter Rise: Sunbreak,Super Tank,Gain Ground,Warsong,Joe Montana Football,,Battle Frenzy,Gungriffon,Shadow Man,Lunar: Silver Star Story Complete,SSX,Saints Row IV,Disco Elysium,Gungnir,Ys: Memories of Celceta,The New Zealand Story,Gekisha Boy,Bill & Ted's Excellent Adventure,Eye of the Beholder II: The Legend of Darkmoon,Rollerball,Zanac A.I.,The Ninja Warriors,Ganryu
66,Balloon Kid,Shadowgate Classic,Sword of Mana,Yoshi's Island DS,Dragon Quest VIII: Journey of the Cursed King,Mario Calculator,Micro Machines,Shadowrun,Cruis'n World,Battalion Wars,Madden NFL 10,Terraria,Kirby Star Allies,Sega Flipper,California Games,Road Rash 3,Wonder Boy,,Bill Walsh College Football,Baku Baku Animal,Alone in the Dark: The New Nightmare,Lunar 2: Eternal Blue Complete,Spider-Man 2,LittleBigPlanet 2,What Remains of Edith Finch,OutRun 2006: Coast 2 Coast,Dragon Quest Builders,R-Type,Fantasy Zone,Basketbrawl,Lands of Lore: The Throne of Chaos,Starquake,Columns,Sexy Parodius,Zed Blade
67,Mystical Ninja Starring Goemon,Metal Walker,Breath of Fire,Star Fox Command,Dragon Quest VII: Fragments of the Forgotten Past,Animal Crossing Clock,The Battle of Olympus,Goof Troop,Body Harvest,Odama,FIFA Soccer 13,Scribblenauts Unlimited,The Legend of Zelda: Echoes of Wisdom,Othello,The Lion King,Altered Beast,World Series Baseball,,BC Racers,Galactic Attack,Nightmare Creatures II,Threads of Fate,Final Fantasy X-2,Resonance of Fate,Path of Exile,Wild Arms XF,Grand Kingdom,Moonstone: A Hard Days Knight,Son Son II,Pit-Fighter,Ultima Underworld II: Labyrinth of Worlds,The Goonies 'r' Good Enough,Ishido: The Way of Stones,Salamander,King of the Monsters
68,Battle Arena Toshinden,Pokemon TCG 2: The Invasion of Team GR!,Breath of Fire II,Pokemon Mystery Dungeon: Explorers of Sky,Xenoblade Chronicles 3D,Animal Crossing Calculator,Goonies II,Disney's Aladdin,Forsaken 64,Star Fox: Assault,Guitar Hero III: Legends of Rock,Scribblenauts Unmasked: A DC Comics Adventure,Vampire Survivors,Mahjong,Disney's Aladdin,Mortal Kombat,FIFA International Soccer,,Brutal: Paws of Fury,Sonic 3D Blast,Silver,Front Mission 3,Rogue Galaxy,Final Fantasy XIII-2,War Thunder,FIFA 13,Atelier Rorona Plus: The Alchemist of Arland,Agony,Valkyrie no Densetsu,Hockey,Ultima VI: The False Prophet,Mr. Ghost,SimCity,Gradius III,Sengoku
69,Fortified Zone,Power Quest,Summon Night: Swordcraft Story,Pokemon Mystery Dungeon: Explorers of Time,Star Fox 64 3D,WarioWare: Snapped!,Willow,Mega Man X3,StarCraft 64,Kirby Air Ride,Rock Band 2,Batman: Arkham Origins,Cadence of Hyrule,Home Mahjong,Jungle Book,Mortal Kombat 3,Super Monaco GP,,Cadillacs and Dinosaurs: The Second Cataclysm,Powerslave,Record of Lodoss War,Valkyrie Profile,Odin Sphere,Castlevania: Lords of Shadow,Fall Guys,MotorStorm: Arctic Edge,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,Apidya,Tengai Makyo: Ziria,Kung Food,Ultima IV: Quest of the Avatar,Goody,Populous,Contra,Burning Fight
70,Great Greed,Cannon Fodder,Summon Night: Swordcraft Story 2,Pokemon Mystery Dungeon: Blue Rescue Team,Pilotwings Resort,Master of Illusion Express: Funny Face,Baseball Simulator 1.000,Wild Guns,Quake II,The Legend of Zelda: Four Swords Adventures,Just Dance 2,Assassin's Creed III,Crypt of the NecroDancer,Serizawa Hachidan no Tsumeshogi,Asterix,Ultimate Mortal Kombat 3,GP Rider,,Chuck Rock,Christmas NiGHTS into Dreams...,Evolution: The World of Sacred Device,Breath of Fire IV,Xenosaga Episode I,BlazBlue: Chrono Phantasma,Pinball FX3,Kingdom of Paradise,Mystery Chronicle: One Way Heroics,Project-X,Valis II,Desert Strike: Return to the Gulf,Ultima V: Warriors of Destiny,Frogger,Herzog,Asterix,Super Sidekicks 2
71,Noobow,Commander Keen,F-Zero: Maximum Velocity,Pokemon Platinum,Steel Diver,Master of Illusion Express: Shuffle Games,Kickle Cubicle,Sparkster,Quake 64,Pokémon Colosseum,Just Dance 3,Watch Dogs,Golf Story,Pachinko,Asterix and the Great Rescue,Super Street Fighter II,G-LOC: Air Battle,,Chuck Rock II: Son of Chuck,Quake,Evolution 2: Far Off Promise,Persona 2: Eternal Punishment,Xenosaga Episode III,Sonic Generations,Angry Video Game Nerd I & II Deluxe,Capcom Classics Collection Reloaded,Toukiden: Kiwami,SWIV,Linda Cube,BattleWheels,Wing Commander II: Vengeance of the Kilrathi,Elevator Action,Tower of Cabin,Metamorphic Force,Ninja Combat
